,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,pulandian,39.3953,121.9669,41.72,94,4,3.78,CN,1701984927
103,bilibino,68.0546,166.4372,-34.96,100,73,2.28,RU,1701984927
104,nelson bay,-32.7167,152.15,77.09,86,11,5.01,AU,1701984928
105,stanley,54.868,-1.6985,40.28,94,75,5.75,GB,1701984928
106,khandyga,62.6667,135.6,-22.27,93,100,5.03,RU,1701984928
107,fort mcmurray,56.7268,-111.381,33.39,64,0,9.22,CA,1701984655
108,hamilton,39.1834,-84.5333,57.15,55,0,12.66,US,1701984880
109,laojunmiao,39.8333,97.7333,27.95,34,42,2.24,CN,1701984929
110,udachny,66.4167,112.4,-13.56,75,100,3.62,RU,1701984929
111,karwar,14.8,74.1333,75.02,76,88,4.88,IN,1701984929
112,fort st. john,56.2499,-120.8529,28.29,64,20,10.36,CA,1701984741
113,solwezi,-12.1688,26.3894,63.16,88,30,2.66,ZM,1701984930
114,zaio,34.9428,-2.7329,62.58,91,98,2.59,MA,1701984930
115,codrington,-38.2667,141.9667,82.8,36,99,19.15,AU,1701984930
116,calama,-22.4667,-68.9333,79.29,5,0,28.77,CL,1701984930
117,vadso,70.0744,29.7487,14.16,85,75,18.41,NO,1701984930
118,yarmouth,41.7057,-70.2286,32.14,66,20,15.01,US,1701984931
119,sturgeon bay,44.8342,-87.377,39.6,75,100,6.91,US,1701984678
120,sengiley,53.9622,48.7944,-12.93,100,99,4.27,RU,1701984931
121,chonchi,-42.6128,-73.8092,65.41,52,0,2.39,CL,1701984827
122,yacuiba,-22.038,-63.6797,72.48,84,99,6.64,BO,1701984931
123,banda aceh,5.5577,95.3222,78.58,83,100,6.22,ID,1701984931
124,kapuskasing,49.4169,-82.4331,30.29,93,100,4.61,CA,1701984782
125,dudinka,69.4058,86.1778,-12.32,98,14,11.01,RU,1701984932
126,enewetak,11.3474,162.3373,82.02,80,100,20.71,MH,1701984932
127,port elizabeth,-33.918,25.5701,68.09,94,0,3.44,ZA,1701984932
128,fortaleza,-3.7227,-38.5247,85.06,76,20,10.36,BR,1701984932
129,utrik,11.2278,169.8474,81.55,81,54,23.58,MH,1701984932
130,makurazaki,31.2667,130.3167,51.8,59,0,4.72,JP,1701984933
131,murghob,38.1702,73.9667,5.92,61,67,3.87,TJ,1701984933
132,sao jose da coroa grande,-8.8978,-35.1478,78.76,77,89,10.54,BR,1701984933
133,dongola,19.1667,30.4833,66.61,21,27,10.78,SD,1701984933
134,georgetown,5.4112,100.3354,78.73,92,20,3.44,MY,1701984934
135,qaqortoq,60.7167,-46.0333,35.44,61,100,13.96,GL,1701984934
136,urucara,-2.5364,-57.76,85.26,62,78,2.39,BR,1701984934
137,neryungri,56.6709,124.6491,-27.06,98,100,3.76,RU,1701984934
138,twon-brass,4.3151,6.2418,81.57,79,100,13.22,NG,1701984935
139,pacific grove,36.6177,-121.9166,62.55,71,0,8.05,US,1701984721
140,ridgecrest,35.6225,-117.6709,65.64,28,20,5.75,US,1701984935
141,nuuk,64.1835,-51.7216,38.01,44,40,3.44,GL,1701984935
142,acapulco de juarez,16.8634,-99.8901,85.82,74,75,9.22,MX,1701984724
143,hermanus,-34.4187,19.2345,66.36,83,35,9.28,ZA,1701984936
144,kodiak,57.79,-152.4072,31.51,80,100,18.41,US,1701984881
145,lompoc,34.6391,-120.4579,73.02,53,0,18.41,US,1701984936
146,mount gambier,-37.8333,140.7667,80.55,40,96,11.32,AU,1701984936
147,yuzhno-kurilsk,44.0306,145.8556,38.37,89,93,25.55,RU,1701984937
148,taungoo,18.9333,96.4333,71.29,97,60,1.16,MM,1701984937
149,las tablas,7.7667,-80.2833,83.17,99,42,11.74,PA,1701984937
150,murzuq,25.9155,13.9184,57.7,34,8,10.04,LY,1701984693
151,kapit,2.0167,112.9333,73.13,99,99,0.96,MY,1701984938
152,prado,-17.3411,-39.2208,77.18,83,5,9.26,BR,1701984938
153,tual,-5.6667,132.75,83.8,71,98,0.74,ID,1701984938
154,chepen,-7.2167,-79.45,76.46,65,45,9.33,PE,1701984902
155,choele choel,-39.2667,-65.6833,71.47,51,86,3.65,AR,1701984939
156,cabo san lucas,22.8909,-109.9124,86.61,51,0,8.01,MX,1701984939
157,akrehamn,59.2667,5.1833,35.42,59,75,11.5,NO,1701984939
158,masterton,-40.9597,175.6575,63.88,60,40,5.03,NZ,1701984939
159,nova vicosa,-17.8919,-39.3719,77.92,81,5,11.16,BR,1701984723
160,el granada,37.5027,-122.4694,63.57,82,75,14.97,US,1701984821
161,tiksi,71.6872,128.8694,-26.01,99,88,5.03,RU,1701984940
162,revda,56.801,59.9303,-26.64,96,5,1.3,RU,1701984940
163,keflavik,64.0049,-22.5624,36.03,51,0,4.61,IS,1701984940
164,amos,48.5669,-78.1162,23.61,91,100,3.83,CA,1701984940
165,lecheng,25.1238,113.3254,53.91,65,32,1.54,CN,1701984940
166,paradip garh,20.3167,86.6167,69.31,92,56,10.92,IN,1701984941
167,hasaki,35.7333,140.8333,37.8,39,0,2.59,JP,1701984941
168,vorgashor,67.5833,63.95,-14.73,99,100,4.45,RU,1701984941
169,hithadhoo,-0.6,73.0833,81.41,78,96,10.49,MV,1701984941
170,kidal,18.4411,1.4078,74.43,13,22,4.99,ML,1701984942
171,denison,33.7557,-96.5367,69.62,65,80,10.0,US,1701984942
172,laguna,38.421,-121.4238,60.12,67,75,10.36,US,1701984684
173,stornoway,58.2093,-6.3865,44.04,91,100,5.01,GB,1701984942
174,voss,60.623,6.4229,10.24,92,39,7.25,NO,1701984942
175,torzhok,57.0436,34.9622,-9.33,100,100,3.4,RU,1701984943
176,bardai,11.65,7.2333,71.01,20,82,7.36,NG,1701984943
177,turkmenbasy,40.0222,52.9552,47.17,76,75,4.61,TM,1701984943
178,kwang binh,17.4833,106.6,67.44,76,74,3.42,VN,1701984943
179,onega,63.9061,38.1404,-7.28,99,62,4.9,RU,1701984943
180,kudahuvadhoo,2.6708,72.8944,80.31,83,98,17.07,MV,1701984943
181,shimoda,34.6667,138.95,51.37,63,0,4.21,JP,1701984944
182,ancud,-41.8697,-73.8203,57.67,66,0,8.3,CL,1701984944
183,yelizovo,53.1873,158.3805,19.8,79,75,4.47,RU,1701984944
184,tralee,52.2704,-9.7026,46.65,87,40,16.11,IE,1701984945
185,arkhangel'sk,64.5401,40.5433,-14.87,76,0,6.71,RU,1701984945
186,elverum,60.8819,11.5623,3.27,99,90,3.67,NO,1701984945
187,touros,-5.1989,-35.4608,80.08,76,69,13.8,BR,1701984946
188,east london,-33.0153,27.9116,71.38,88,35,9.35,ZA,1701984946
189,bredasdorp,-34.5322,20.0403,65.23,85,0,10.07,ZA,1701984946
190,flying fish cove,-10.4217,105.6791,76.68,83,40,3.44,CX,1701984946
191,porto novo,6.4965,2.6036,84.02,80,100,7.76,BJ,1701984946
192,sos'va,59.1766,61.8558,-30.95,98,12,3.0,RU,1701984946
193,pangody,65.85,74.4859,-2.83,97,100,13.4,RU,1701984947
194,afaahiti,-17.75,-149.2833,82.27,83,95,20.09,PF,1701984947
195,karuzi,-3.125,30.1333,60.1,96,14,1.97,BI,1701984947
196,anadyr,64.75,177.4833,-5.3,77,20,22.37,RU,1701984947
197,niamey,13.5137,2.1098,79.09,12,100,5.75,NE,1701984947
198,along,28.1667,94.7667,59.02,84,100,1.12,IN,1701984947
199,atafu village,-8.5421,-172.5159,84.36,73,57,5.77,TK,1701984948
200,korla,41.7597,86.1469,36.12,52,98,13.69,CN,1701984948
201,deer valley,33.6861,-112.1186,76.35,27,0,4.61,US,1701984948
202,bertoua,4.5833,13.6833,70.05,94,72,4.12,CM,1701984948
203,iskateley,67.6803,53.1512,6.03,96,100,8.01,RU,1701984948
204,alice springs,-23.7,133.8833,80.15,57,1,4.61,AU,1701984948
205,luderitz,-26.6481,15.1594,62.15,80,0,13.31,NA,1701984949
206,turpan,42.9333,89.1667,33.78,53,99,2.53,CN,1701984949
207,usinsk,65.9939,57.5281,-3.93,99,100,7.0,RU,1701984949
208,punta arenas,-53.15,-70.9167,51.91,66,0,11.5,CL,1701984949
209,salinopolis,-0.6136,-47.3561,81.54,80,61,12.62,BR,1701984949
210,prince rupert,54.3161,-130.3201,40.69,78,0,4.61,CA,1701984764
211,dailekh,28.8333,81.6667,51.76,71,1,4.83,NP,1701984950
212,betul,21.9153,77.8961,61.57,86,32,4.29,IN,1701984950
213,ngaoundere,7.3167,13.5833,71.13,26,81,2.91,CM,1701984950
214,ta`u,-14.2336,-169.5144,81.18,83,76,13.73,AS,1701984950
215,turtas,58.9417,69.1325,-21.28,90,19,4.41,RU,1701984950
216,soio,-6.1349,12.3689,80.04,78,52,7.16,AO,1701984950
217,bani mazar,28.5036,30.8004,61.95,43,100,3.38,EG,1701984950
218,saudarkrokur,65.7461,-19.6394,18.9,75,42,6.44,IS,1701984951
219,longyearbyen,78.2186,15.6401,28.24,69,40,16.11,SJ,1701984951
220,susuman,62.7833,148.1667,-27.02,96,100,1.01,RU,1701984951
221,mundri,-6.9558,111.71,77.25,89,100,4.05,ID,1701984951
222,lazaro cardenas,17.9583,-102.2,85.06,59,32,5.19,MX,1701984941
223,noshiro,40.2039,140.0242,44.74,52,95,21.43,JP,1701984951
224,recreo,-29.2818,-65.061,89.26,29,0,13.78,AR,1701984951
225,rabigh,22.7986,39.0349,79.47,67,0,2.95,SA,1701984952
226,illizi,26.4833,8.4667,58.8,33,0,4.83,DZ,1701984952
227,mercedes,-34.6515,-59.4307,76.86,50,0,8.93,AR,1701984952
228,richland center,43.3347,-90.3868,52.32,70,3,7.23,US,1701984737
229,newman,37.3138,-121.0208,64.02,37,36,4.0,US,1701984952
230,wanning,18.8003,110.3967,67.44,82,96,4.27,CN,1701984952
231,peace river,56.2501,-117.286,26.91,80,20,3.44,CA,1701984735
232,vuktyl,63.8567,57.3094,-16.94,98,100,2.86,RU,1701984953
233,mount isa,-20.7333,139.5,76.77,44,3,0.0,AU,1701984658
234,zouerate,22.7187,-12.4521,68.7,28,100,8.39,MR,1701984953
235,vallegrande,-18.4897,-64.1069,64.38,86,87,3.83,BO,1701984953
236,taulaga,-11.0553,-171.0883,83.64,74,100,13.67,AS,1701984953
237,lambayeque,-6.7011,-79.9061,75.31,69,0,23.02,PE,1701984953
238,klyuchi,52.2667,79.1667,-6.63,71,88,8.28,RU,1701984953
239,galle,6.0367,80.217,77.74,89,28,2.44,LK,1701984954
240,aleshtar,33.8633,48.2619,35.64,55,100,2.44,IR,1701984954
241,port mathurin,-19.6833,63.4167,78.3,77,3,8.25,MU,1701984954
242,saint-philippe,-21.3585,55.7679,74.79,88,73,8.9,RE,1701984954
243,imeko,7.45,2.85,79.09,76,97,5.3,NG,1701984954
244,polyarnyy,69.1989,33.4478,8.33,93,92,15.61,RU,1701984954
245,ares,-6.1944,-35.1603,82.49,79,62,10.51,BR,1701984955
246,kuta,-8.7233,115.1723,80.55,94,20,3.44,ID,1701984955
247,saint-joseph,-21.3667,55.6167,76.48,86,69,9.46,RE,1701984955
248,vila franca do campo,37.7167,-25.4333,64.89,99,86,9.13,PT,1701984955
249,tindouf,27.6711,-8.1474,63.05,48,40,4.61,DZ,1701984955
250,lysekil,58.2743,11.4358,31.03,93,73,10.63,SE,1701984955
251,vertientes,21.2594,-78.1464,77.61,59,47,13.31,CU,1701984956
252,valparaiso,-33.0393,-71.6273,68.0,69,20,13.8,CL,1701984728
253,dryden,49.7833,-92.7503,37.69,75,100,6.91,CA,1701984956
254,geraldton,-28.7667,114.6,64.81,77,75,8.05,AU,1701984956
255,sao joao da barra,-21.6403,-41.0511,82.49,79,0,10.69,BR,1701984663
256,gebeit,21.0667,36.3167,69.51,83,1,7.96,SD,1701984956
257,ad dawadimi,24.5077,44.3924,60.15,23,0,7.34,SA,1701984956
258,bredy,52.4153,60.3411,-8.68,91,33,7.78,RU,1701984957
259,anchorage,61.2181,-149.9003,24.66,81,100,6.91,US,1701984774
260,guerrero negro,27.9769,-114.0611,68.83,63,0,19.62,MX,1701984957
261,okhotsk,59.3833,143.3,21.13,92,100,31.5,RU,1701984957
262,santa vitoria do palmar,-33.5189,-53.3681,63.23,78,45,14.97,BR,1701984957
263,uruguaiana,-29.7547,-57.0883,73.08,73,0,9.75,BR,1701984957
264,al jawf,29.5,38.75,62.71,58,35,10.29,SA,1701984958
265,port saint john's,-31.6229,29.5448,69.31,75,26,6.49,ZA,1701984958
266,saint-julien-les-villas,48.2667,4.1,40.96,75,100,6.91,FR,1701984958
267,ribeira brava,32.65,-17.0667,66.7,85,65,1.39,PT,1701984958
268,dabola,10.75,-11.1167,74.97,33,0,3.0,GN,1701984958
269,marsabit,2.3284,37.9899,69.04,53,0,9.66,KE,1701984958
270,figeac,44.75,1.9167,43.18,97,100,5.59,FR,1701984958
271,nantucket,41.2835,-70.0995,32.14,66,0,11.5,US,1701984959
272,tura,25.5198,90.2201,60.48,96,100,3.74,IN,1701984959
273,ajdabiya,30.7554,20.2263,62.42,74,83,14.36,LY,1701984959
274,ponta delgada,37.7333,-25.6667,65.19,82,75,11.5,PT,1701984959
275,arraial do cabo,-22.9661,-42.0278,85.96,65,0,16.11,BR,1701984959
276,mount pearl,47.5166,-52.7813,28.06,92,100,17.27,CA,1701984959
277,novofedorivka,46.1713,32.3178,41.68,91,100,18.5,UA,1701984959
278,pemangkat,1.1667,108.9667,77.81,88,98,4.0,ID,1701984960
279,vryburg,-26.9566,24.7284,75.72,16,93,7.29,ZA,1701984960
280,muang phon-hong,18.4928,102.4172,68.14,91,28,1.1,LA,1701984960
281,usogorsk,63.4106,48.6872,-21.33,99,13,1.07,RU,1701984960
282,general pinedo,-27.3167,-61.2833,79.75,55,3,7.9,AR,1701984960
283,tolanaro,-25.0319,46.9987,71.67,94,75,11.5,MG,1701984960
284,isabela,6.7085,121.9711,77.05,83,100,3.09,PH,1701984961
285,uturoa,-16.7333,-151.4333,80.4,80,67,11.14,PF,1701984961
286,thurso,58.5927,-3.5259,44.85,95,100,38.45,GB,1701984961
287,coyhaique,-45.5752,-72.0662,77.61,38,20,9.22,CL,1701984961
288,colonia,50.9333,6.95,37.74,83,0,12.66,DE,1701984962
289,jiuquan,39.7432,98.5174,29.5,38,76,4.41,CN,1701984962
290,luena,-11.7833,19.9167,66.38,88,0,3.44,AO,1701984962
291,qarazhal,48.0078,70.7903,8.31,54,88,13.0,KZ,1701984962
292,trail,49.0998,-117.7022,46.69,81,100,2.35,CA,1701984963
293,la passe,45.5549,-0.8967,54.01,94,100,7.56,FR,1701984963
294,al kharijah,25.4514,30.5464,61.16,46,1,7.36,EG,1701984963
295,nadi,-17.8,177.4167,86.0,58,40,8.05,FJ,1701984687
296,roma,43.2128,-75.4557,35.08,94,100,5.01,US,1701984963
297,johi,26.6921,67.6133,64.49,26,0,4.0,PK,1701984964
298,ryki,51.6257,21.9327,25.9,94,87,7.2,PL,1701984964
299,tchintabaraden,15.8969,5.7985,71.46,15,41,7.36,NE,1701984964
300,mandera,3.9366,41.867,82.42,39,0,6.2,KE,1701984964
301,lugoba,-6.45,38.3333,72.88,98,96,2.73,TZ,1701984964
302,cidreira,-30.1811,-50.2056,72.41,93,100,5.41,BR,1701984965
303,barcelos,41.5388,-8.6151,59.14,92,62,6.67,PT,1701984965
304,paita,-5.0892,-81.1144,72.52,76,27,13.73,PE,1701984965
305,kasangulu,-4.5911,15.1708,81.48,97,100,1.07,CD,1701984965
306,castillos,-34.1667,-53.8333,62.35,77,37,14.61,UY,1701984804
307,el bordo,2.117,-76.9821,75.94,83,81,2.13,CO,1701984966
308,palmer,42.1584,-72.3287,33.35,64,75,5.75,US,1701984694
309,maryville,35.7565,-83.9705,57.45,32,20,12.66,US,1701984949
310,puerto baquerizo moreno,-0.9,-89.6,79.79,74,75,13.8,EC,1701984966
311,ugoofaaru,5.6667,73.0,83.23,78,100,24.74,MV,1701984967
312,remire-montjoly,4.9167,-52.2667,82.44,83,75,9.22,GF,1701984967
313,markaz-e woluswali-ye achin,34.1258,70.7078,50.81,30,97,1.3,AF,1701984967
314,taylor,32.3001,-99.8337,73.42,52,0,21.85,US,1701984967
315,slyudyanka,51.6594,103.7061,-4.43,91,100,3.36,RU,1701984967
316,salinas,36.6777,-121.6555,63.0,64,0,10.36,US,1701984968
317,kourou,5.1552,-52.6478,82.45,90,39,8.41,GF,1701984968
318,amursk,50.2261,136.8994,0.93,95,90,10.71,RU,1701984968
319,sao vicente,-23.9631,-46.3919,95.18,56,75,13.8,BR,1701984969
320,kaltan,53.5347,87.2457,-5.93,96,100,2.8,RU,1701984970
321,novomoskovs'k,48.6167,35.2,30.33,89,100,15.86,UA,1701984970
322,gadzhiyevo,69.2551,33.3362,7.11,95,94,14.97,RU,1701984971
323,sisimiut,66.9395,-53.6735,23.0,70,100,6.87,GL,1701984971
324,daru,-9.0763,143.2092,81.39,73,86,7.4,PG,1701984971
325,kiruna,67.8557,20.2251,7.72,92,100,0.0,SE,1701984971
326,saipan,15.1355,145.701,81.3,83,40,12.66,MP,1701984971
327,khash,28.2211,61.2158,49.73,21,0,1.59,IR,1701984972
328,ishim,56.1128,69.4902,-23.96,97,8,5.99,RU,1701984972
329,jayapura,-2.5333,140.7,78.19,84,100,6.73,ID,1701984781
330,brisas de zicatela,15.8369,-97.0419,86.52,54,20,4.61,MX,1701984972
331,greenville,35.6127,-77.3663,51.96,46,0,6.91,US,1701984700
332,acapetahua,15.2833,-92.7,85.82,58,37,4.65,MX,1701984973
333,merizo village,13.2658,144.6691,82.13,85,100,17.69,GU,1701984973
334,zhuanghe,39.7008,122.9911,42.82,97,51,4.34,CN,1701984973
335,brookings,44.3114,-96.7984,60.8,46,0,14.97,US,1701984973
336,dhi as sufal,13.8345,44.1147,57.79,75,6,3.53,YE,1701984974
337,khovd,48.0056,91.6419,12.13,55,2,0.94,MN,1701984974
338,tarija,-21.5355,-64.7296,66.11,82,75,4.61,BO,1701984974
339,bengkulu,-3.8004,102.2655,74.68,93,100,3.91,ID,1701984974
340,college,64.8569,-147.8028,1.38,79,40,8.05,US,1701984974
341,ulsteinvik,62.3432,5.8487,34.3,78,2,8.99,NO,1701984975
342,kavaratti,10.5669,72.642,82.56,68,81,5.88,IN,1701984975
343,as sulayyil,20.4607,45.5779,61.05,30,18,5.73,SA,1701984975
344,tanabe,33.7333,135.3667,45.03,64,0,6.35,JP,1701984975
345,tazacorte,28.629,-17.9293,68.97,82,40,8.05,ES,1701984975
346,patacamaya,-17.2333,-67.9167,57.07,54,67,18.63,BO,1701984976
347,fruit cove,30.1111,-81.6418,65.41,55,75,5.75,US,1701984976
348,belle fourche,44.6714,-103.8522,58.51,60,79,20.87,US,1701984976
349,ad dilam,23.9915,47.1627,63.01,18,0,3.58,SA,1701984976
350,xai-xai,-25.0519,33.6442,71.15,90,22,6.08,MZ,1701984976
351,lincoln city,44.9582,-124.0179,50.9,87,100,14.0,US,1701984775
352,kinkala,-4.3614,14.7644,71.1,95,100,3.02,CG,1701984977
353,ta'izz,13.5,44.0,61.38,78,4,6.24,YE,1701984977
354,galliano,29.4422,-90.2992,66.2,52,0,0.0,US,1701984977
355,rumbek,6.802,29.6912,81.05,31,1,3.49,SS,1701984977
356,lebu,-37.6167,-73.65,58.05,80,2,15.77,CL,1701984977
357,puerto deseado,-47.7503,-65.8938,52.81,62,0,9.24,AR,1701984978
358,callao,-12.0667,-77.15,71.89,68,20,9.22,PE,1701984978
359,dzuunmod,48.2199,97.3744,-5.78,94,100,4.41,MN,1701984978
360,moose jaw,50.4001,-105.5344,35.87,93,100,19.57,CA,1701984938
361,novodvinsk,64.4165,40.8122,-15.21,97,49,3.96,RU,1701984978
362,muscat,23.6139,58.5922,68.02,41,0,1.54,OM,1701984970
363,santo antonio,-6.3106,-35.4789,77.81,76,61,13.0,BR,1701984979
364,nemuro,43.3236,145.575,33.15,61,68,26.82,JP,1701984979
365,burang,30.25,81.1667,7.32,54,0,4.38,CN,1701984979
